"Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG"
"223,Malo Gusto,fr FRA,DF,Chelsea,21,2003,32,19,1862,20.7,0,1,1,0,0,0,4,0,1.7,1.7,1.4,3.1,50,119,85,0.00,0.05,0.05,0.00,0.05,0.08,0.07,0.15,0.08,0.15"
"224,JoÅ¡ko Gvardiol,hr CRO,DF,Manchester City,22,2002,37,36,3277,36.4,5,0,5,5,0,0,2,0,4.6,4.3,2.1,6.3,91,264,121,0.14,0.00,0.14,0.14,0.14,0.13,0.06,0.18,0.12,0.17"
"225,Erling Haaland,no NOR,FW,Manchester City,24,2000,31,31,2736,30.4,22,3,25,19,3,4,2,0,22.0,18.8,3.0,21.8,24,20,124,0.72,0.10,0.82,0.62,0.72,0.72,0.10,0.82,0.62,0.72"
"226,Lewis Hall,eng ENG,DF,Newcastle Utd,19,2004,27,24,2189,24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.3,4.7,41,123,80,0.00,0.16,0.16,0.00,0.16,0.02,0.18,0.19,0.02,0.19"
"227,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28"
"228,Marcus Harness,eng ENG,MF,Ipswich Town,28,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"229,Jack Harrison,eng ENG,FW,Everton,27,1996,34,24,2076,23.1,1,0,1,1,0,0,0,0,3.5,3.5,3.7,7.2,73,51,127,0.04,0.00,0.04,0.04,0.04,0.15,0.16,0.31,0.15,0.31"
"230,Taylor Harwood-Bellis,eng ENG,DF,Southampton,22,2002,34,32,2825,31.4,1,0,1,1,0,0,9,0,1.8,1.8,1.0,2.8,29,125,9,0.03,0.00,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09"
"231,Kai Havertz,de GER,""FW,MF"",Arsenal,25,1999,23,21,1875,20.8,9,3,12,9,0,0,5,0,9.5,9.5,2.4,12.0,35,61,113,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57"
"232,Ayden Heaven,eng ENG,DF,Manchester Utd,17,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,1,7,1,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08"
"233,Jan Paul van Hecke,nl NED,DF,Brighton,24,2000,34,33,2958,32.9,1,1,2,1,0,0,8,1,1.3,1.3,1.5,2.8,55,228,5,0.03,0.03,0.06,0.03,0.06,0.04,0.05,0.09,0.04,0.09"
"234,Hwang Hee-chan,kr KOR,""MF,FW"",Wolves,28,1996,21,5,661,7.3,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,15,12,42,0.27,0.00,0.27,0.27,0.27,0.11,0.02,0.13,0.11,0.13"
"235,Dean Henderson,eng ENG,GK,Crystal Palace,27,1997,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"236,Rico Henry,eng ENG,DF,Brentford,27,1997,5,0,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"237,Mads Hermansen,dk DEN,GK,Leicester City,24,2000,27,27,2385,26.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"238,Son Heung-min,kr KOR,FW,Tottenham,32,1992,30,24,2110,23.4,7,9,16,6,1,2,1,0,7.2,5.7,8.2,13.9,96,111,265,0.30,0.38,0.68,0.26,0.64,0.31,0.35,0.66,0.24,0.59"
"239,James Hill,eng ENG,DF,Bournemouth,22,2002,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.00,0.20,0.20,0.00,0.20,0.06,0.05,0.11,0.06,0.11"
"240,Jack Hinshelwood,eng ENG,""MF,DF"",Brighton,19,2005,26,22,1842,20.5,5,2,7,5,0,0,5,0,2.7,2.7,1.5,4.2,19,68,54,0.24,0.10,0.34,0.24,0.34,0.13,0.07,0.21,0.13,0.21"
"241,George Hirst,sct SCO,FW,Ipswich Town,25,1999,26,5,661,7.3,3,1,4,3,0,0,3,0,2.1,2.1,0.3,2.5,9,13,31,0.41,0.14,0.54,0.41,0.54,0.29,0.05,0.34,0.29,0.34"
"242,Mason Holgate,jm JAM,""FW,DF"",Everton,27,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"243,Harry Howell,eng ENG,FW,Brighton,15,2008,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"244,Callum Hudson-Odoi,eng ENG,""FW,MF"",Nott'ham Forest,23,2000,31,25,2194,24.4,5,2,7,5,0,0,2,0,2.5,2.5,2.7,5.2,130,71,189,0.21,0.08,0.29,0.21,0.29,0.10,0.11,0.21,0.10,0.21"
"245,Will Hughes,eng ENG,MF,Crystal Palace,29,1995,33,24,2108,23.4,0,3,3,0,0,0,11,0,1.1,1.1,3.1,4.2,20,87,27,0.00,0.13,0.13,0.00,0.13,0.05,0.13,0.18,0.05,0.18"
"246,Dean Huijsen,es ESP,DF,Bournemouth,19,2005,32,26,2427,27.0,3,2,5,3,0,0,10,0,1.9,1.9,2.0,3.9,41,132,10,0.11,0.07,0.19,0.11,0.19,0.07,0.08,0.14,0.07,0.14"
"247,Omari Hutchinson,eng ENG,""MF,FW"",Ipswich Town,20,2003,31,30,2583,28.7,3,2,5,3,0,0,5,0,2.9,2.9,3.5,6.4,97,75,159,0.10,0.07,0.17,0.10,0.17,0.10,0.12,0.22,0.10,0.22"
"248,Rasmus HÃ¸jlund,dk DEN,FW,Manchester Utd,21,2003,32,23,2004,22.3,4,0,4,4,0,0,2,0,5.3,5.3,1.8,7.1,28,18,101,0.18,0.00,0.18,0.18,0.18,0.24,0.08,0.32,0.24,0.32"
"249,Igor,br BRA,DF,Brighton,26,1998,13,10,961,10.7,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,49,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02"
"250,Danny Ings,eng ENG,""FW,MF"",West Ham,32,1992,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,29,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12"
"251,Tim Iroegbunam,eng ENG,MF,Everton,21,2003,18,5,574,6.4,0,1,1,0,0,0,4,0,0.2,0.2,0.2,0.4,8,15,9,0.00,0.16,0.16,0.00,0.16,0.04,0.03,0.07,0.04,0.07"
"252,Andy Irving,sct SCO,MF,West Ham,24,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19"
"253,Alexander Isak,se SWE,FW,Newcastle Utd,24,1999,34,34,2756,30.6,23,6,29,19,4,4,1,0,20.3,17.2,4.3,21.6,83,88,217,0.75,0.20,0.95,0.62,0.82,0.66,0.14,0.81,0.56,0.70"
"254,Alex Iwobi,ng NGA,""FW,MF"",Fulham,28,1996,38,35,2981,33.1,9,6,15,9,0,0,1,0,4.7,4.7,7.0,11.8,144,213,246,0.27,0.18,0.45,0.27,0.45,0.14,0.21,0.36,0.14,0.36"
"255,Nicolas Jackson,sn SEN,FW,Chelsea,23,2001,30,28,2220,24.7,10,5,15,10,0,0,7,1,12.3,12.3,4.3,16.6,47,38,129,0.41,0.20,0.61,0.41,0.61,0.50,0.17,0.67,0.50,0.67"
"256,Reece James,eng ENG,""DF,MF"",Chelsea,24,1999,19,12,1063,11.8,1,1,2,1,0,0,1,0,0.4,0.4,0.7,1.1,7,64,12,0.08,0.08,0.17,0.08,0.17,0.04,0.06,0.10,0.04,0.10"
"257,Vitaly Janelt,de GER,MF,Brentford,26,1998,32,27,2254,25.0,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3.0,17,80,38,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12"
"258,Vitezslav Jaros,cz CZE,GK,Liverpool,23,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"259,Daniel Jebbison,ca CAN,FW,Bournemouth,20,2003,16,0,119,1.3,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,4,3,16,0.76,0.00,0.76,0.76,0.76,0.75,0.15,0.90,0.75,0.90"
"260,Mathias Jensen,dk DEN,MF,Brentford,28,1996,24,8,862,9.6,0,2,2,0,0,0,2,0,0.2,0.2,1.7,1.9,6,61,27,0.00,0.21,0.21,0.00,0.21,0.03,0.17,0.20,0.03,0.20"
"261,Gabriel Jesus,br BRA,FW,Arsenal,27,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54"
"262,RaÃºl JimÃ©nez,mx MEX,FW,Fulham,33,1991,38,30,2494,27.7,12,3,15,9,3,3,4,0,12.0,9.6,3.3,12.9,35,62,125,0.43,0.11,0.54,0.32,0.43,0.43,0.12,0.55,0.35,0.47"
"263,Kim Jisoo,kr KOR,DF,Brentford,19,2004,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"264,JoÃ£o Pedro,br BRA,""FW,MF"",Brighton,22,2001,27,23,1948,21.6,10,6,16,5,5,5,4,1,8.9,5.0,5.0,10.0,66,78,128,0.46,0.28,0.74,0.23,0.51,0.41,0.23,0.64,0.23,0.46"
"265,Joelinton,br BRA,""MF,FW"",Newcastle Utd,27,1996,29,29,2393,26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24"
"266,Ben Johnson,eng ENG,""DF,FW"",Ipswich Town,24,2000,23,14,1354,15.0,1,2,3,1,0,0,5,1,1.1,1.1,1.3,2.3,16,27,33,0.07,0.13,0.20,0.07,0.20,0.07,0.09,0.16,0.07,0.16"
"267,Brennan Johnson,wls WAL,FW,Tottenham,23,2001,33,24,2177,24.2,11,3,14,11,0,0,5,0,10.4,10.4,2.3,12.7,60,71,197,0.45,0.12,0.58,0.45,0.58,0.43,0.09,0.52,0.43,0.52"
"268,Sam Johnstone,eng ENG,GK,Wolves,31,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"269,Curtis Jones,eng ENG,""MF,DF"",Liverpool,23,2001,33,19,1712,19.0,3,3,6,3,0,0,3,1,4.3,4.3,1.1,5.4,30,117,79,0.16,0.16,0.32,0.16,0.32,0.23,0.06,0.29,0.23,0.29"
"270,Jorginho,it ITA,MF,Arsenal,32,1991,15,9,704,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06"
"271,Diogo Jota,pt POR,FW,Liverpool,27,1996,26,14,1196,13.3,6,3,9,6,0,0,2,0,7.9,7.9,1.8,9.8,37,34,88,0.45,0.23,0.68,0.45,0.68,0.60,0.14,0.74,0.60,0.74"
"272,James Justin,eng ENG,DF,Leicester City,26,1998,36,34,2912,32.4,2,2,4,2,0,0,6,0,1.5,1.5,0.8,2.3,39,91,96,0.06,0.06,0.12,0.06,0.12,0.05,0.03,0.07,0.05,0.07"
"273,Filip JÃ¸rgensen,dk DEN,GK,Chelsea,22,2002,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"274,Ferdi Kadioglu,tr TUR,""DF,MF"",Brighton,24,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14"
"275,Daichi Kamada,jp JPN,MF,Crystal Palace,27,1996,34,15,1564,17.4,0,0,0,0,0,0,4,1,1.1,1.1,1.9,3.0,25,89,56,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17"
"276,Boubacar Kamara,fr FRA,MF,Aston Villa,24,1999,26,20,1726,19.2,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,19,85,7,0.05,0.00,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09"
"277,Joachim Kayi Sanda,fr FRA,DF,Southampton,17,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"278,Michael Kayode,it ITA,DF,Brentford,20,2004,12,6,528,5.9,0,1,1,0,0,0,2,0,0.2,0.2,1.2,1.5,12,12,24,0.00,0.17,0.17,0.00,0.17,0.04,0.21,0.25,0.04,0.25"
"279,Michael Keane,eng ENG,DF,Everton,31,1993,14,11,1049,11.7,3,0,3,3,0,0,5,0,0.6,0.6,0.1,0.7,1,14,3,0.26,0.00,0.26,0.26,0.26,0.05,0.01,0.06,0.05,0.06"
"280,CaoimhÃ­n Kelleher,ie IRL,GK,Liverpool,25,1998,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"281,Lloyd Kelly,eng ENG,DF,Newcastle Utd,25,1998,10,4,303,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,0,9,5,0.00,0.30,0.30,0.00,0.30,0.12,0.14,0.26,0.12,0.26"
"282,Milos Kerkez,hu HUN,DF,Bournemouth,20,2003,38,38,3336,37.1,2,5,7,2,0,0,4,0,0.6,0.5,3.9,4.4,106,159,197,0.05,0.13,0.19,0.05,0.19,0.02,0.10,0.12,0.01,0.12"
"283,Bilal El Khannouss,ma MAR,""MF,FW"",Leicester City,20,2004,32,27,2182,24.2,2,3,5,2,0,0,4,0,1.3,1.3,4.6,5.8,73,128,89,0.08,0.12,0.21,0.08,0.21,0.05,0.19,0.24,0.05,0.24"
"284,Abdukodir Khusanov,uz UZB,DF,Manchester City,20,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02"
"285,Max Kilman,eng ENG,DF,West Ham,27,1997,38,38,3348,37.2,0,1,1,0,0,0,5,0,1.6,1.6,1.2,2.8,31,113,6,0.00,0.03,0.03,0.00,0.03,0.04,0.03,0.08,0.04,0.08"
"286,Joshua King,eng ENG,MF,Fulham,17,2007,8,1,130,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3,9,16,0.00,0.00,0.00,0.00,0.00,0.22,0.30,0.51,0.22,0.51"
"287,Tom King,wls WAL,GK,Wolves,29,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"288,AntonÃ­n KinskÃ½,cz CZE,GK,Tottenham,21,2003,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01"
"289,Jakub Kiwior,pl POL,DF,Arsenal,24,2000,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,5,48,1,0.08,0.00,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04"
"290,Justin Kluivert,nl NED,MF,Bournemouth,25,1999,34,29,2340,26.0,12,6,18,6,6,6,8,0,10.3,5.6,4.8,10.5,81,105,173,0.46,0.23,0.69,0.23,0.46,0.40,0.19,0.58,0.22,0.40"
"291,Ibrahima KonatÃ©,fr FRA,DF,Liverpool,25,1999,31,30,2560,28.4,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,25,115,3,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.10,0.06,0.10"
"292,Ezri Konsa,eng ENG,DF,Aston Villa,26,1997,34,33,2936,32.6,2,0,2,2,0,0,1,0,1.3,1.3,0.4,1.7,24,90,11,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05"
"293,Mateo KovaÄiÄ‡,hr CRO,MF,Manchester City,30,1994,31,25,2198,24.4,6,2,8,6,0,0,5,1,1.9,1.9,3.6,5.5,56,164,16,0.25,0.08,0.33,0.25,0.33,0.08,0.15,0.23,0.08,0.23"
"294,Caleb Kporha,eng ENG,DF,Crystal Palace,18,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"295,Emil Krafth,se SWE,DF,Newcastle Utd,29,1994,12,2,342,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,5,8,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03"
"296,Mohammed Kudus,gh GHA,""FW,MF"",West Ham,23,2000,32,31,2590,28.8,5,3,8,5,0,0,2,1,6.9,6.9,3.1,10.0,98,79,216,0.17,0.10,0.28,0.17,0.28,0.24,0.11,0.35,0.24,0.35"
"297,Dejan Kulusevski,se SWE,""MF,FW"",Tottenham,24,2000,32,27,2389,26.5,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,124,210,0.26,0.15,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39"
"298,Maxence Lacroix,fr FRA,DF,Crystal Palace,24,2000,35,35,3116,34.6,1,1,2,1,0,0,5,0,3.4,3.4,1.0,4.4,8,65,7,0.03,0.03,0.06,0.03,0.06,0.10,0.03,0.13,0.10,0.13"
"299,Adam Lallana,eng ENG,MF,Southampton,36,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27"
"300,Tariq Lamptey,gh GHA,DF,Brighton,23,2000,15,10,860,9.6,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,32,14,45,0.21,0.21,0.42,0.21,0.42,0.04,0.08,0.12,0.04,0.12"
"301,Will Lankshear,eng ENG,""FW,MF"",Tottenham,19,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"302,RomÃ©o Lavia,be BEL,MF,Chelsea,20,2004,16,11,797,8.9,0,1,1,0,0,0,4,0,0.3,0.3,0.7,1.0,3,31,7,0.00,0.11,0.11,0.00,0.11,0.03,0.08,0.11,0.03,0.11"
"303,Mario Lemina,ga GAB,""MF,DF"",Wolves,30,1993,17,15,1364,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17"
"304,Bernd Leno,de GER,GK,Fulham,32,1992,38,38,3420,38.0,0,1,1,0,0,0,5,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00"
"305,Jefferson Lerma,co COL,""MF,DF"",Crystal Palace,29,1994,33,26,2274,25.3,0,1,1,0,0,0,9,0,1.1,1.1,1.6,2.7,13,97,26,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.11,0.04,0.11"
"306,Rico Lewis,eng ENG,""DF,MF"",Manchester City,19,2004,28,21,1893,21.0,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,39,107,78,0.05,0.10,0.14,0.05,0.14,0.07,0.02,0.08,0.07,0.08"
"307,Keane Lewis-Potter,eng ENG,""DF,FW"",Brentford,23,2001,38,36,3093,34.4,1,3,4,1,0,0,7,0,3.1,3.1,3.2,6.3,98,98,156,0.03,0.09,0.12,0.03,0.12,0.09,0.09,0.18,0.09,0.18"
"308,Myles Lewis-Skelly,eng ENG,DF,Arsenal,17,2006,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.2,0.2,0.4,0.6,37,71,37,0.07,0.00,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04"
"309,Matthijs de Ligt,nl NED,DF,Manchester Utd,24,1999,29,25,2123,23.6,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.08,0.00,0.08,0.08,0.08,0.10,0.01,0.12,0.10,0.12"
"310,Pedro Lima,br BRA,DF,Wolves,18,2006,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4,11,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16"
"311,Victor LindelÃ¶f,se SWE,DF,Manchester Utd,30,1994,16,6,704,7.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,26,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01"
"312,Jesper LindstrÃ¸m,dk DEN,FW,Everton,24,2000,25,15,1239,13.8,0,1,1,0,0,0,2,0,2.1,2.1,2.0,4.1,30,25,81,0.00,0.07,0.07,0.00,0.07,0.15,0.15,0.30,0.15,0.30"
"313,Valentino Livramento,eng ENG,DF,Newcastle Utd,21,2002,37,32,2840,31.6,0,1,1,0,0,0,1,0,0.3,0.3,2.6,2.9,83,158,119,0.00,0.03,0.03,0.00,0.03,0.01,0.08,0.09,0.01,0.09"
"314,Sean Longstaff,eng ENG,MF,Newcastle Utd,26,1997,25,8,798,8.9,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,40,22,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09"
"315,SaÅ¡a LukiÄ‡,rs SRB,MF,Fulham,27,1996,30,28,2344,26.0,0,2,2,0,0,0,12,0,1.2,1.2,2.7,3.9,39,98,33,0.00,0.08,0.08,0.00,0.08,0.04,0.11,0.15,0.04,0.15"
"316,Joe Lumley,eng ENG,GK,Southampton,29,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"317,Massimo Luongo,au AUS,MF,Ipswich Town,31,1992,11,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"318,Ian Maatsen,nl NED,DF,Aston Villa,22,2002,29,10,1139,12.7,1,2,3,1,0,0,2,0,0.9,0.9,2.7,3.6,31,50,104,0.08,0.16,0.24,0.08,0.24,0.07,0.22,0.28,0.07,0.28"
"319,Alexis Mac Allister,ar ARG,MF,Liverpool,25,1998,35,30,2599,28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.10,0.16,0.26,0.10,0.26"
"320,James Maddison,eng ENG,MF,Tottenham,27,1996,31,21,1809,20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10.0,45,164,95,0.45,0.35,0.80,0.45,0.80,0.29,0.21,0.50,0.29,0.50"
"321,Noni Madueke,eng ENG,FW,Chelsea,22,2002,32,27,2033,22.6,7,3,10,7,0,0,3,0,9.6,9.6,4.2,13.9,154,69,226,0.31,0.13,0.44,0.31,0.44,0.43,0.19,0.61,0.43,0.61"
"322,Gabriel MagalhÃ£es,br BRA,DF,Arsenal,26,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.10,0.03,0.13,0.10,0.13"
"323,Edmond-Paris Maghoma,eng ENG,""MF,FW"",Brentford,23,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17"
"324,Harry Maguire,eng ENG,DF,Manchester Utd,31,1993,27,19,1758,19.5,1,0,1,1,0,0,7,0,1.8,1.8,0.6,2.4,7,51,7,0.05,0.00,0.05,0.05,0.05,0.09,0.03,0.12,0.09,0.12"
"325,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19,2005,25,19,1651,18.3,0,0,0,0,0,0,5,0,0.7,0.7,1.6,2.3,22,65,47,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.12,0.04,0.12"
"326,Tyrell Malacia,nl NED,DF,Manchester Utd,24,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03"
"327,Donyell Malen,nl NED,FW,Aston Villa,25,1999,14,2,305,3.4,3,0,3,3,0,0,0,0,2.2,2.2,0.2,2.4,12,6,30,0.89,0.00,0.89,0.89,0.89,0.64,0.05,0.69,0.64,0.69"
"328,Mateus Mane,,MF,Wolves,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"329,Orel Mangala,be BEL,MF,Everton,26,1998,19,14,1261,14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.00,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13"
"330,Ryan Manning,ie IRL,""DF,MF"",Southampton,28,1996,24,18,1462,16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,0.00,0.06,0.06,0.00,0.06,0.02,0.20,0.22,0.02,0.22"
"331,Solly March,eng ENG,""FW,MF"",Brighton,30,1994,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.19,0.05,0.19"
"332,Omar Marmoush,eg EGY,""FW,MF"",Manchester City,25,1999,16,14,1175,13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,0.54,0.00,0.54,0.54,0.54,0.42,0.21,0.64,0.42,0.64"
"333,Gabriel Martinelli,br BRA,""FW,MF"",Arsenal,23,2001,33,25,2290,25.4,8,4,12,8,0,0,1,0,7.4,7.4,5.0,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49"
"334,Emiliano MartÃ­nez,ar ARG,GK,Aston Villa,31,1992,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02"
